Driver,LapNumber,LapTime_s,brake_duration_ratio,throttle_smoothness,full_throttle_ratio,coasting_ratio,gear_change_freq,speed_at_throttle_lift,mean_corner_speed,speed_variance,throttle_brake_overlap
ALO,2.0,99.792,0.18940397350993377,2.249336870026525,0.46622516556291393,0.05562913907284768,7.81456953642384,266.43749952,127.29927886287935,65.83520966441822,0.0
ALO,3.0,99.1,0.20133333333333334,2.347129506008011,0.452,0.056,7.199999999999999,283.0,124.6248016819475,67.42466934218645,0.005333333333333333
ALO,4.0,99.548,0.21806451612903227,2.2377260981912146,0.44129032258064516,0.0696774193548387,6.838709677419355,257.44166613333334,129.95465677971748,66.68317919215418,0.02193548387096774
ALO,5.0,99.662,0.19893190921228304,2.3101604278074865,0.4472630173564753,0.06675567423230974,7.076101468624834,268.3261906285714,123.60187388921274,66.70939980349465,0.0
ALO,6.0,99.674,0.21166892808683854,2.3831521739130435,0.46132971506105835,0.03934871099050204,6.648575305291724,269.0,122.75246937689579,66.87837508310882,0.0013568521031207597
ALO,7.0,99.729,0.20974289580514208,2.3143631436314362,0.45331529093369416,0.058186738836265225,6.901217861975644,289.0,122.66132176285542,67.79371190190966,0.008119079837618403
ALO,8.0,99.959,0.2320730117340287,2.31331592689295,0.439374185136897,0.03780964797913951,6.910039113428944,278.20417280000004,125.05149084283417,66.95779071767862,0.027379400260756193
ALO,9.0,100.275,0.19594594594594594,2.351826792963464,0.46621621621621623,0.03918918918918919,7.027027027027027,268.96416618666666,120.82757270028908,68.82526071357688,0.002702702702702703
ALO,10.0,100.203,0.21399730820995963,2.3908355795148246,0.44414535666218036,0.04441453566621804,7.94078061911171,252.62666666666667,123.51802101233505,71.51127299721949,0.0026917900403768506
ALO,11.0,101.147,0.2245430809399478,2.4235294117647057,0.42428198433420367,0.02349869451697128,7.702349869451696,247.8062496,123.95551912726549,71.56429169046797,0.009138381201044387
ALO,12.0,100.934,0.22935779816513763,2.3595800524934383,0.44823066841415465,0.027522935779816515,7.732634338138926,236.5,122.1078266139324,70.87330755984782,0.003931847968545216
ALO,13.0,100.341,0.1984126984126984,2.384105960264901,0.4828042328042328,0.046296296296296294,7.671957671957672,255.10124928,126.8279471418405,70.57693094463222,0.010582010582010581
ALO,14.0,102.212,0.21335078534031413,2.491022280471822,0.47774869109947643,0.028795811518324606,7.460732984293193,244.8432695105953,122.93751485054867,68.75341318355743,0.013089005235602094
ALO,16.0,97.542,0.21875,2.329251700680272,0.49592391304347827,0.024456521739130436,6.25,275.96666367999995,127.02207946983133,66.84619529045469,0.006793478260869565
ALO,17.0,98.139,0.18417462482946795,2.3374013357619914,0.48021828103683495,0.05593451568894952,6.8212824010914055,205.0,122.61786634894884,69.68605580449683,0.0
ALO,18.0,98.124,0.18940397350993377,2.2613026819923374,0.46225165562913906,0.07152317880794702,6.887417218543046,,122.57804037435287,66.95726705368847,0.0013245033112582781
ALO,19.0,98.361,0.20698924731182797,2.3014804845222074,0.4435483870967742,0.056451612903225805,6.854838709677419,264.0878319068783,123.38402208108549,66.83015328766002,0.0
ALO,20.0,98.318,0.1901595744680851,2.2210386151797605,0.46808510638297873,0.05585106382978723,7.047872340425531,247.0,122.72817604157412,67.336247498482,0.0026595744680851063
ALO,21.0,98.407,0.20079787234042554,2.3195739014647137,0.4747340425531915,0.05053191489361702,7.047872340425531,251.37395813333333,122.33246689702113,67.83853020497443,0.0
ALO,22.0,98.2,0.19863945578231293,2.343324250681199,0.4598639455782313,0.047619047619047616,6.938775510204081,271.5,121.30151308385665,67.27252826044366,0.0
ALO,23.0,97.853,0.21517241379310345,2.345303867403315,0.47586206896551725,0.03586206896551724,7.1724137931034475,275.0,124.35815191239955,67.65602209237534,0.004137931034482759
ALO,24.0,97.878,0.19615912208504802,2.269230769230769,0.4828532235939643,0.053497942386831275,7.133058984910837,232.01805546666668,122.16267291881505,68.99119434721716,0.0054869684499314125
ALO,25.0,98.139,0.19973190348525469,2.279194630872483,0.4745308310991957,0.049597855227882036,7.238605898123325,272.2552365104762,122.69582483601657,69.24306982510166,0.012064343163538873
ALO,26.0,98.127,0.19079837618403248,2.330623306233062,0.4749661705006766,0.06359945872801083,7.171853856562922,270.6666666666667,121.44375140474264,68.36649257824334,0.0027063599458728013
ALO,27.0,98.612,0.20293724966622162,2.251336898395722,0.4432576769025367,0.07209612817089453,6.942590120160213,278.13249984,122.81539033362583,67.73741269573856,0.010680907877169559
ALO,28.0,98.199,0.19731543624161074,2.3198924731182795,0.4604026845637584,0.06845637583892618,6.7114093959731544,252.0,121.68539274660762,67.90698628148087,0.0013422818791946308
ALO,29.0,98.585,0.2018842530282638,2.339622641509434,0.4387617765814266,0.05114401076716016,6.864064602960969,,119.89354594672788,69.47009008940329,0.0
ALO,30.0,98.282,0.20318725099601595,2.297872340425532,0.4767596281540505,0.041168658698539175,6.507304116865869,,119.92997531552763,69.22146685536693,0.0026560424966799467
ALO,31.0,98.009,0.1962864721485411,2.353253652058433,0.5119363395225465,0.038461538461538464,6.631299734748011,246.543888342292,121.37175486131805,68.73007128029649,0.003978779840848806
