epoch,train_loss,train_acc,val_loss,val_acc
1,1.7744522418005992,0.2754237288135593,1.8098244808487973,0.15254237288135594
2,1.6344785225593437,0.4830508474576271,1.8016719312991125,0.15254237288135594
3,1.5021699828616644,0.6440677966101694,1.7679804826186876,0.15254237288135594
4,1.3761066925727714,0.6652542372881356,1.6591500973297377,0.22033898305084745
5,1.2298186593136544,0.7076271186440678,1.4536604861081657,0.3220338983050847
6,1.1014505362106581,0.7669491525423728,1.5777999829437772,0.2033898305084746
7,0.9533974366672968,0.8177966101694916,2.909819958573681,0.2033898305084746
8,0.8083505822440326,0.8432203389830508,2.809064852989326,0.2033898305084746
9,0.6718298853453943,0.8559322033898306,2.6699343050940563,0.2033898305084746
10,0.5776675525358168,0.847457627118644,0.9307628900317823,0.6271186440677966
11,0.5097973801321902,0.8516949152542372,0.4735364065331928,0.8813559322033898
12,0.4490490687095513,0.8771186440677966,0.43050578186067484,0.8813559322033898
13,0.3684351605884099,0.8983050847457628,0.5891293802503812,0.7627118644067796
14,0.289730984780748,0.9576271186440678,0.28433438175815645,0.9322033898305084
15,0.24911646216602648,0.9915254237288136,0.31473595661632087,0.9491525423728814
16,0.2103296412249743,0.9957627118644068,0.3501986911741354,0.8813559322033898
17,0.22152330057095673,0.9830508474576272,0.2730642193454807,0.9661016949152542
18,0.15935040265321732,1.0,0.3077346025887182,0.864406779661017
19,0.14126092751147384,0.9957627118644068,0.18210140603073574,1.0
20,0.13491563953585545,1.0,0.11672267949177047,1.0
21,0.10720091376264217,0.9957627118644068,0.14738861130455794,0.9661016949152542
22,0.08583088156025288,1.0,0.12060228646811792,1.0
23,0.07988986518170874,1.0,0.15827306120072382,0.9661016949152542
24,0.07308998426138344,1.0,0.09729991385997352,1.0
25,0.054188665633989594,1.0,0.0954590366553452,1.0
26,0.04300615639757302,1.0,0.05135749804518991,1.0
27,0.04490512293779244,1.0,0.08098022728148153,1.0
28,0.04479843226529784,1.0,0.1334248171266863,0.9830508474576272
29,0.03625054979475878,1.0,0.061067601002879064,1.0
30,0.04761689187864126,0.9957627118644068,0.2102113030219482,0.9491525423728814
31,0.0326135464770309,1.0,0.038856673733157626,1.0
32,0.02659213801814338,1.0,0.0736368379350436,1.0
33,0.031042854412127348,1.0,0.07347707159943499,1.0
34,0.021510865286750308,1.0,0.11141068791433917,1.0
